target,text
zd,"китае завершена проходка морского тоннеля всм гуанчжоу — чжаньцзян китае высокоскоростной магистрали гуанчжоу — чжаньцзян завершена проходка тоннеля длиной , км участком акваторией залива чжаньцзян южнокитайского моря. ходе работ мес одним проходческим щитом диаметром , м пройдено м, числе м дном моря глубине м. это первый китае опыт бурения одним щитом yongxing подводного участка тоннеля всм длины. средняя скорость проходки превысила м/мес рекордом м/мес. проектом предусмотрено также обустройство вспомогательных труб обеспечения безопасности эксплуатации технического обслуживания основного тоннеля. настоящее время всм гуанчжоу — чжаньцзян протяженностью км работы укладке пути завершены на..."
zd,"частный оператор european sleeper продлил маршрут брюссель — берлин праги голландскобельгийский стартап european sleeper приступил перевозкам пассажиров ночными поездами good night продленному маршруту брюссель — берлин — прага. первый рейс состоялся марта г. предусмотрены промежуточные остановки антверпене бельгия, роттердаме амстердаме нидерланды, берлине, дрездене бад‑шандау германия, дечине усти‑над‑лабем чехия. стоимость билетов одну сторону начинается евро купе шестью местами сидения вариант seatsbudget евро — купе couchettescomfort, котором шесть спальных мест дневные часы трансформируются места сидения. поезда, сформированные модернизированных вагонов, курсируют..."
zd,"alstom поставит локомотивов traxx компании clip intermodal alstom польская компания clip intermodal, входящая состав группы clip специализирующаяся области мультимодальных перевозок, объявили подписании первом квартале г. контрактов поставку общей сложности многосистемных электровозов traxx третьего поколения. локомотивы предназначены работы сообщениях францией, бельгией, люксембургом, германией, австрией польшей. строить завод alstom касселе германия, кузова изготовит предприятие компании вроцлаве польша. контракт предусматривает выполнение превентивного технического обслуживания поставленных локомотивов течение лет. необходимость приобретения современных многосистемных локомотивов возникла группы clip связи расширением терминала сважендзе польша. терминал, рассчитанный на..."
zd,"инновационный восьмиосный вагон‑цистерна прошел приемочные комиссии эксперты трех приемочных комиссий дали высокую оценку технологии производства ключевым комплектующим инновационной восьмиосной цистерны перевозки нефтепродуктов модели ‑. новый вагон, состоящий двух четырехосных секций, соединенных жесткой сцепкой, получил символичное название находка. реализуемый заказу федеральной грузовой компании ао фгк проект запущен марте г. разработчиком выступил центр рм рейл инжиниринг, опытный образец изготовлен предприятии ао рузхиммаш оба входят компанию рм рейл. главным преимуществам двухсекционного восьмиосного вагонацистерны относятся..."
zd,"локотракторы zephir заменят маневровые тепловозы сталелитейном заводе британская лизинговая компания porterbrook согласовала приобретение трех маневровых локомотивов комбинированном ходу локотракторов серии lok . постройки компании zephir сдачи лизинг оператору gb railfreight, который эксплуатировать металлургическом предприятии компании celsa steel кардиффе. заводе производства стали используется металлолом, собранный великобритании. локотракторы компании zephir представляют экологически оптимальный вариант сравнению используемыми настоящее время маневровыми тепловозами серии , обеспечивая сокращение расхода топлива размере %. двигатели стандарта евро‑ работают на..."
zd,"опорная сеть всм китая готова % председатель правления железных дорог китая cr лю чженьфан liu zhenfang дал интервью агентству xinhua, котором поделился результатами работы cr г. планами ближайшую перспективу. г. китае введены эксплуатацию км новых линий, числе км высокоскоростных, результате территориальных округа страны охвачены сетью железных дорог. объем финансирования составил , млрд юаней около млрд долл. сша, , % больше, г. общая протяженность железных дорог достигла тыс. км, включая тыс. км всм. ожидается, г. значения составят тыс. км тыс. км соответственно. план создания опорной сети всм восьми линий направления север — юг восьми линий восток — запад выполнен %, % — стадии строительства. ..."
zd,мартовский номер журнала железные дороги мира содержание мартовского номера ждм ￭ новости ￭ отчет мсжд статистика происшествий железных дорогах ￭ китай остается мировым лидером темпам строительства всм ￭ цифровизация тяжеловесного движения ￭ проекты городского рельсового транспорта бразилии ￭ развитие сети метрополитена лимы ￭ путь плитном основании индии ￭ электрификация модернизация пригородных линий ирландии ￭ восстановление старейшей железной дороги румынии анонсы статей доступны сайте ждм — возможность приобрести электронные версии отдельных статей номера целиком. подписывайтесь читайте журнал железные дороги мира вся информация подписке — нашем сайте
zd,"стамбуле открыт участок автоматизированной линии метро стамбуле марта г. введен эксплуатацию третий участок длиной км автоматизированной линии метро m, соединивший район арнавуткёй международным аэропортом стамбула; время пути нему занимает мин. ранее, январе г., китайская компания crrc zhuzhou electric locomotive crrc zelc представила заводе анкаре первый беспилотный метропоезд стамбула, собранный турецком предприятии. согласно контракту стоимостью порядка , млрд тур. лир, заключенному апреле г., crrc zelc должна поставить вагонов линии метро изготовить % турции. производство поездов анкаре началось июне г. турецкие компании поставляют узлы компоненты для..."
zd,"оператор ad ports group приобретает половины акций сухого порта тбилиси портовый логистический оператор ad ports group абу‑даби оаэ объявил подписании соглашения фирмой inveco приобретении доли % уставном капитале компании сухой порт тбилиси tbilisi dry port. данный момент помимо inveco собственником порта является логистическая компания wilhelmsen. расположенный грузии черным каспийским морями порт, ввод которого эксплуатацию запланирован четвертый квартал г., стать ключевым логистическим хабом транскаспийском международном транспортном коридоре middle corridor, связывающем производственные предприятия азии рынками сбыта европе счет..."
zd,"mta испытает автоматизированную систему инспектирования подвижного состава министерство транспорта сша usdot выделило транспортной администрации нью‑йорка mta финансирование размере млн долл. проведение испытаний системы автоматизированного инспектирования состояния подвижного состава. usdot считает, автоматизированная система, использующая различные датчики программное обеспечение, позволит повысить эффективность обязательных ежедневных осмотров поездов соответствии требованиями федеральной железнодорожной администрации сша fra. испытания пройдут железной дороге metro‑north railroad mnr, являющейся подразделением mta. ожидается, что..."
zd,"иран наращивает транспортную инфраструктуру информации министерства дорог городского развития ирана mrud, перевалочная мощность портовой инфраструктуры страны последние лет увеличилась млн млн т грузов год. продолжается строительство порта мекран мощностью млн т, расположенного акватории залива чабахар аравийского моря. крупнейших торговых портов шахидраджаи побережье ормузского пролива, входящий структуру порта бендераббас, последние , года увеличил перерабатывающую способность %. благодаря государственным инвестициям развиваются крупные шахидраджаи, имамхомейни шахидбехешти, небольшие порты. государственный комитет портам судоходству ирана ports maritime organization, pmo планирует инвестиции развитие портов страны объеме квдрлн иранских риалов около , млрд долл. сша, числе..."
zd,"турецкой провинции коджаэли развивают рельсовый транспорт измите, административном центре провинции коджаэли одном крупнейших торговопромышленных районов турции, открылся пассажиров участок продления протяженностью , км пятью остановками линии трамвая akçaray. это единственная линия трамвая коджаэли, ввод эксплуатацию выполнялся поэтапно июня г. контракт стоимостью млн тур. лир строительство участка, включая поставку монтаж электромеханических систем, заключен главным управлением инфраструктурных инвестиций aygm турецкой компанией eze i̇nşaat г. муниципалитет коджаэли апреле г. подписал договор турецкой компанией bozankaya сумму..."
zd,"siemens сервисный контракт канадской metrolinx metrolinx — администрация общественного транспорта большого торонто гамильтона выбрала компанию siemens mobility качестве поставщика услуг текущему содержанию путевой инфраструктуры полосы отвода, также обслуживанию систем сигнализации центральном регионе торонто. феврале г. siemens mobility заключен аналогичный контракт, охватывающий западный регион торонто. siemens mobility располагает канаде местной командой специалистов ‑летним опытом обслуживании объектов железнодорожной инфраструктуры. компания намерена..."
zd,"швейцария сокращение доли железных дорог трансальпийских грузовых перевозках данным федерального управления транспорта швейцарии bav, г. объем грузовых перевозок швейцарские альпы снизился , % относительно предыдущего года составил млн т. железнодорожный транспорт сравнению предыдущим годом перевез , % меньше грузов, автомобильный также меньше, , %. таким образом, доля железных дорог трансальпийских грузовых перевозках сократилась , %. основной причиной, оценке bav, является текущая экономическая ситуация европе, энергетический кризис сбои цепочках поставок. кроме того, сказывается невысокая надежность железнодорожных перевозок, обусловленная проведением работ текущему содержанию инфраструктуры и..."
zd,"mxv rail завершила постройку петлевого участка ускоренных испытаний компания mxv rail, дочернее предприятие ассоциации американских железных дорог aar, ранее — центр транспортных технологий ttci, завершила постройку вблизи пуэбло сша, штат колорадо петлевого участка ускоренных эксплуатационных испытаний facility accelerated service testing fast протяженностью , км. основание пути участке практически готово маю г. ввод строй нового участка позволит проводить испытания условиях, близких существующим реальной эксплуатации. предполагаемая нагрузка движения участку поездов повышенной осевой нагрузкой составит млн т брутто год. г. fast планируется провести экспериментов. числе тестирование новых методов выявления дефектов колес изломов рельсов, оценка показателей безопасности и..."
zd,"расширение сети метрополитена калькутты калькутте, столице индийского штата западная бенгалия, марте г. введены эксплуатацию новая линия orange метро участка продления общей протяженностью около , км. открылась перевозки пассажиров первая очередь линии метро длиной , км пятью станциями; строительство обошлось , млрд рупий примерно млн долл. сша. перспективе эта линия создаст удобное сообщение международным аэропортом имени нетаджи субхас чандра боса позволит разгрузить автомагистраль eastern metropolitan bypass. также введен эксплуатацию западный участок протяженностью , км четырьмя станциями линии green eastwest метро, соединивший калькутту пригородом ховра. участок включает..."
zd,"польше приступают проектированию железной дороги краков — мысленице оператор инфраструктуры железных дорог польши pkp polskie linie kolejowe pkp plk подписал контракт проектирование новой железнодорожной линии краков свошовице — мысленице. это трех инвестиционных проектов, запланированных малопольском воеводстве рамках программы kolej plus. контракт стоимостью млн злотых, подписанный консорциумом польских компаний bbf idom inżynieria, architektura doradztwo, предполагает разработку проектной документации надзор строительством. подготовку проекта отводится мес. трасса участка свошовице — мысленице длиной около км включает тоннельных участка несколько мостовых сооружений. новым железнодорожным сообщением охвачено около тыс. чел. линии предусматриваются шесть промежуточных остановок. поездка скоростью до..."
zd,"компания east midlands railway модернизирует парк подвижного состава компания east midlands railway emr, великобритания выполняет программу стоимостью млн ф. ст. около млн евро, предусматривающую модернизацию электропоездов серии дизельпоездов серий . комплексный проект реализуется сотрудничестве компаниями angel trains, siemens, porterbrook eversholt. работы будут выполняться территории великобритании. оператор emr является дочерним предприятием компании transport uk group, выполняет пригородные, междугородные региональные пассажирские перевозки франшизе east midlands регионе восточный мидленд. кроме того, поезда luton airport express оператора курсируют лондонским вокзалом сентпанкрас международным аэропортом лутон. программа нацелена повышение уровня комфорта удобств пассажиров. поезда серий..."
zd,"рельсовая система шеффилда supertram перешла контроль государства марте г. истечении срока действия заключенного г. контракта частным оператором stagecoach сеть рельсового транспорта supertram английского шеффилда перешла контроль государственной компании south yorkshire future trams, учрежденной администрацией южного йоркшира south yorkshire mayoral combined authority, symca. сеть supertram состоит четырех линий, числе трех линий трамвая одной системы трамвайпоезд, обслуживающих остановок пересадками маршруты поездов, местных междугородных автобусов. последние годы эксплуатация рельсовой системы убыточной, недостаток инвестиций содержание развитие способствовал..."
zd,"китаем сербией открыт новый грузовой железнодорожный маршрут новый грузовой маршрут связал шицзячжуан, административный центр китайской провинции хэбэй, столицей сербии белградом. первый поезд отправился сухого порта шицзячжуан марта г. далее проследовал пограничную станцию алашанькоу синьцзянуйгурском автономном районе китая. расчетам, время пути маршруту протяженностью примерно , тыс. км составит около сут. это первый грузовой поезд, который свяжет регион пекинтяньцзиньхэбэй сербией рамках..."
zd,"железные дороги германии году убытки рекордные инвестиции г. железные дороги германии db инвестировали развитие инфраструктуры обновление парка подвижного состава рекордные , млрд евро собственных средств — % больше, годом ранее. млрд евро потрачено инфраструктурные мероприятия, стоимость которых компенсирована дальнейшем бюджета фрг. результате финансовый результат db ожидаемо оказался негативным. скорректированный показатель ebit составил – млн евро г. +, млрд евро. задолженность концерна увеличилась. учетом средств федерального бюджета инвестиции содержание модернизацию железнодорожной инфраструктуры достигли г. , млрд евро + % г.. убыток db итогам г. составил , млрд евро г. убыток млн евро, оборот достиг..."
zd,"согласовано строительство линии метро городе тайнань тайване министерство транспорта коммуникаций тайваня motc предварительно согласовало проект строительства первого участка длиной , км линии метро blue тайнане — городе населением около , млн чел. югозападе острова. рассматривались, частности, трасса основные параметры транспортной системы, также предполагаемый бюджет строительства. ранее проект одобрен министерством охраны окружающей среды. внесения необходимых корректив городской администрацией разработанная проектная документация представлена утверждение правительство острова. линия пройдет через..."
zd,"stadler построит четыре электропоезда berner oberland‑bahn швейцарская горная железная дорога метровой колеи berner oberlandbahn заключила компанией stadler контракт стоимостью , млн швейц. фр. поставку четырех трехвагонных электропоездов серии abeh/ дополнение шести поездам, заказанным мае г. каждом электропоезде — мест пассажиров, обе стороны низкопольной входной зоны широкими дверными проемами оборудованы площадки перевозки лыж, сноубордов, велосипедов детских колясок. электропоездов планируется ввести эксплуатацию последнем квартале первой половине г. это позволит заменить поезда серии abeh/ ii, построенные г., увеличить..."
zd,"грузооборот железных дорогах нидерландов сократился % данным оператора инфраструктуры железных дорог нидерландов prorail, объем грузовых перевозок нидерландах г. составил , млн т, % меньше сравнению г., грузооборот сократился также %, , млрд ткм. сравнения, показатель достиг рекордной отметки , млрд ткм г., многом объяснялось ростом спроса уголь. г. произошло сокращение объемов перевозок вида топлива , млн т г. , млн т. импортируемый уголь перевозили портов амстердама, роттердама флиссингена, доля общем тоннаже составила %. произошло сокращение мультимодальных перевозок, особенно второй половине г. целом году объем упал на..."
zd,"поезд водородном топливе flirt h прошел км одной заправке рекордный пробег состоялся кольцевом пути испытательного полигона ttc пуэбло, штат колорадо. пробеге участвовали команды специалистов компаний stadler, которая разработала построила поезд flirt h, ensco, выступающей настоящее время качестве оператора ttc. длительность поездки, которая началась ночью марта г. среднеевропейскому времени, составила ч. это время поезд одной заправке водородом проехал км. достижение зарегистрировано книге рекордов гиннесса. двухвагонный поезд водородными топливными элементами flirt h проходит сертификационные испытания полигоне ttc. поезд предназначен транспортной администрации округа санбернардино штат калифорния. силовая установка емкостями хранения водорода топливными элементами размещена в..."
zd,"siemens mobility начала поставку öbb инновационных пассажирских поездов федеральные железные дороги австрии öbb ввели эксплуатацию первый поезд локомотивной тяги railjet нового поколения, построенный компанией siemens mobility. сначала новый подвижной состав появится маршруте вена — фельдкирх. девятивагонный поезд длиной около м локомотива местами сидения включает вагона первого класса отделениями бизнескласса, вагонресторан, четыре вагона второго класса, многофункциональный вагон экономического класса вагон такого класса кабиной управления. удобства маломобильных пассажиров многофункциональном вагоне устроены зоны размещения колясок, безбарьерный доступ вагон уровня платформы, расширенная входная зона. оборудованы зоны перевозки лыж скейтбордов, также места для..."
zd,"китае испытали водородный поезд собственной разработки китае завершено тестирование первого пригородного поезда питанием водородных топливных элементов, разработанного компанией crrc changchun railway vehicles основе собственных технологий. поезд представлен декабре г. полигоне компании чанчуне, расположенном северовосточной провинции цзилинь, проведены полномасштабные многоуровневые испытания скорости км/ч, которые показали высокую энергоэффективность поезда потреблением..."
zd,"брюсселя столицу франции пустят поезда eurocity время олимпиады париже национальное общество железных дорог бельгии sncb марта г. объявило начале продаж билетов пассажирские поезда категории eurocity, которые начнут курсировать брюсселем парижем период проведения xxxiii летних олимпийских паралимпийских игр париже. билеты доступны сайте sncb international. июля августа г., дни олимпийских игр, sncb введет ежедневное обращение две пары поездов, августа сентября, период проведения паралимпиады, курсировать одна пара. информации sncb, время пути будние дни составит около ч, выходные..."
zd,"объем международных перевозок сети ржд году превысил млн тонн г. сети оао ржд международном сообщении перевезено , % грузов больше, г., — млн т. пленарной дискуссии большая евразия экономическая транспортная интеграция, прошедшей рамках деловой программы выставки transrussia , сообщил первый заместитель генерального директора оао ржд с. а. павлов. контейнерах перевезено , млн т, является абсолютным рекордом. больший прирост контейнеропотока наблюдался первые месяца г. существенное увеличение объемов перевозок сохраняется сообщении китаем — итогам г. перевезено млн т, превышает уровень г. %. китай остается крупнейшим торговым партнером россии — торговый оборот странами г. превысил..."
