target,text
zd,"Частный оператор European Sleeper продлил маршрут Брюссель — Берлин до Праги
   Голландско-бельгийский стартап European Sleeper приступил к перевозкам пассажиров ночными поездами Good Night по продленному маршруту Брюссель — Берлин — Прага. Первый рейс состоялся 25 марта 2024 г. Предусмотрены  промежуточные остановки в Антверпене (Бельгия), Роттердаме и Амстердаме (Нидерланды), Берлине, Дрездене и Бад‑Шандау (Германия), Дечине и Усти‑над‑Лабем (Чехия). Стоимость билетов в одну сторону начинается от 49 евро в купе с шестью местами для сидения (вариант Seats-Budget) и от 79 евро — в купе Couchettes-Comfort, в котором шесть спальных мест в дневные часы трансформируются в места для сидения. Поезда, сформированные из модернизированных вагонов, курсируют...
https://zdmira.com/news/chastnyj-operator-european-sleeper-prodlil-marshrut-bryussel-berlin-do-pragi
12"
zd,"Alstom поставит 13 локомотивов Traxx компании CLIP Intermodal
   Alstom и польская компания CLIP Intermodal, входящая в состав группы CLIP и специализирующаяся в области мультимодальных перевозок, объявили о подписании в первом квартале 2024 г. контрактов на поставку в общей сложности 13 многосистемных электровозов Traxx третьего поколения. Локомотивы предназначены для работы в сообщениях между Францией, Бельгией, Люксембургом, Германией, Австрией и Польшей. Строить их будет завод Alstom в Касселе (Германия), кузова изготовит предприятие компании во Вроцлаве (Польша). Контракт предусматривает выполнение превентивного технического обслуживания поставленных локомотивов в течение 2 лет.
   Необходимость приобретения современных многосистемных локомотивов возникла для группы CLIP в связи с расширением терминала в Сважендзе (Польша). Терминал, рассчитанный на...
https://zdmira.com/news/alstom-postavit-13-lokomotivov-traxx-kompanii-clip-intermodal
13"
zd,"Инновационный восьмиосный вагон‑цистерна прошел приемочные комиссии
   Эксперты трех приемочных комиссий дали высокую оценку технологии производства и ключевым комплектующим инновационной восьмиосной цистерны  для перевозки нефтепродуктов модели 15‑1271. Новый вагон, состоящий  из двух четырехосных секций, соединенных жесткой сцепкой, получил символичное название «Находка». 
   Реализуемый по заказу Федеральной грузовой компании (АО «ФГК») проект запущен в марте 2023 г. Разработчиком выступил центр «РМ Рейл Инжиниринг», опытный образец изготовлен на предприятии АО «Рузхиммаш» (оба входят в компанию «РМ Рейл»). К главным преимуществам двухсекционного восьмиосного вагона-цистерны относятся...
https://zdmira.com/news/innovatsionnyj-vosmiosnyj-vagon-tsisterna-proshel-priemochnye-komissii
14"
zd,"Локотракторы Zephir заменят маневровые тепловозы на сталелитейном заводе
   Британская лизинговая компания Porterbrook согласовала приобретение трех маневровых локомотивов на комбинированном ходу (локотракторов) серии LOK 16.300 постройки компании Zephir для сдачи в лизинг оператору GB Railfreight, который будет эксплуатировать их на металлургическом предприятии компании Celsa Steel в Кардиффе. На этом заводе для производства стали используется металлолом, собранный в Великобритании.
   Локотракторы компании Zephir представляют экологически более оптимальный вариант по сравнению с используемыми в настоящее время маневровыми тепловозами серии 08, обеспечивая сокращение расхода топлива в размере до 60 %. Двигатели стандарта Евро‑5 работают на...
https://zdmira.com/news/lokotraktory-zephir-zamenyat-manevrovye-teplovozy-na-stalelitejnom-zavode
15"
zd,16
zd,17
zd,18
zd,19
zd,20
zd,"Опорная сеть ВСМ Китая готова на 80 %
   Председатель правления железных дорог Китая (CR) Лю Чженьфан (Liu Zhenfang) дал интервью агентству Xinhua, в котором поделился результатами работы CR в 2023 г. и планами на ближайшую перспективу. 
   В 2023 г. в Китае введены в эксплуатацию 3637 км новых линий, в том числе 2776 км высокоскоростных, в результате чего еще 22 (из 2851) территориальных округа страны охвачены сетью железных дорог. Объем финансирования составил 764,5 млрд юаней (около 108 млрд долл. США), что на 7,5 % больше, чем в 2022 г.
   Общая протяженность железных дорог достигла 159 тыс. км, включая 45 тыс. км ВСМ. Ожидается, что в 2025 г. эти значения составят 165 тыс. км и 50 тыс. км соответственно. План создания опорной сети ВСМ из восьми линий направления север — юг и восьми линий восток — запад выполнен на 80 %, и 15 % — в стадии строительства. ...
https://zdmira.com/news/opornaya-set-vsm-kitaya-gotova-na-80
21"
zd,22
zd,23
zd,24
zd,"Мартовский номер журнала «Железные дороги мира»

Содержание мартовского номера «ЖДМ»:
￭ Новости
￭ Отчет МСЖД 2023: статистика происшествий на железных дорогах
￭ Китай остается мировым лидером по темпам строительства ВСМ
￭ Цифровизация тяжеловесного движения
￭ Проекты городского рельсового транспорта Бразилии
￭ Развитие сети метрополитена Лимы
￭ Путь на плитном основании в Индии
￭ Электрификация и модернизация пригородных линий в Ирландии
￭ Восстановление старейшей железной дороги Румынии

Анонсы статей доступны на сайте «ЖДМ» — https://zdmira.com/archive/2024/03.
Есть возможность приобрести электронные версии отдельных статей или всего номера целиком. Подписывайтесь и читайте журнал «Железные дороги мира»!
Вся информация о подписке — на нашем сайте https://zdmira.com/subscribe
25"
zd,"В Стамбуле открыт еще один участок автоматизированной линии метро
   В Стамбуле 19 марта 2024 г. введен в эксплуатацию третий участок длиной 14 км автоматизированной линии метро M11, соединивший район Арнавуткёй с международным аэропортом Стамбула; время в пути по нему занимает всего 8 мин. Ранее, в январе 2024 г., китайская компания CRRC Zhuzhou Electric Locomotive (CRRC ZELC) представила на заводе в Анкаре первый беспилотный метропоезд для Стамбула, собранный на турецком предприятии. Согласно контракту стоимостью порядка 1,5 млрд тур. лир, заключенному в апреле 2020 г., CRRC ZELC должна поставить 176 вагонов для линии метро M11 и изготовить 60 % из них в Турции. 
   Производство поездов в Анкаре началось в июне 2023 г. Турецкие компании поставляют узлы и компоненты для...
https://zdmira.com/news/v-stambule-otkryt-eshche-odin-uchastok-avtomatizirovannoj-linii-metro
26"
zd,27
zd,"Оператор AD Ports Group приобретает более половины акций «Сухого порта Тбилиси»
   Портовый и логистический оператор AD Ports Group из Абу‑Даби (ОАЭ) объявил о подписании соглашения с фирмой Inveco о приобретении доли 60 % в уставном капитале компании «Сухой порт Тбилиси» (Tbilisi Dry Port). 
   На данный момент помимо Inveco собственником этого порта является логистическая компания Wilhelmsen. Расположенный в Грузии между Черным и Каспийским морями порт, ввод которого в эксплуатацию запланирован на четвертый квартал 2024 г., может стать ключевым логистическим хабом в Транскаспийском международном транспортном коридоре (Middle Corridor),  связывающем производственные предприятия в Азии с рынками сбыта в Европе за счет...
https://zdmira.com/news/operator-ad-ports-group-priobretaet-bolee-poloviny-aktsij-sukhogo-porta-tbilisi
28"
zd,"MTA испытает автоматизированную систему инспектирования подвижного состава
   Министерство транспорта США (USDOT) выделило транспортной администрации Нью‑Йорка (MTA) финансирование в размере 2 млн долл. на проведение испытаний системы автоматизированного инспектирования состояния подвижного состава. 
   USDOT считает, что автоматизированная система, использующая различные датчики и программное обеспечение, позволит повысить эффективность обязательных ежедневных осмотров поездов в соответствии с требованиями Федеральной железнодорожной администрации США (FRA). Испытания пройдут на железной дороге Metro‑North Railroad (MNR), являющейся подразделением MTA. Ожидается, что...
https://zdmira.com/news/mta-ispytaet-avtomatizirovannuyu-sistemu-inspektirovaniya-podvizhnogo-sostava
29"
zd,30
zd,"Иран наращивает транспортную инфраструктуру
   По информации Министерства дорог и городского развития Ирана (MRUD), перевалочная мощность портовой инфраструктуры страны за последние 10 лет увеличилась со 180 млн до 250 млн т грузов в год. Продолжается строительство порта Мекран мощностью 200 млн т, расположенного в акватории залива Чабахар Аравийского моря. Один из крупнейших торговых портов Шахид-Раджаи на побережье Ормузского пролива, входящий в структуру порта Бендер-Аббас, за последние 1,5 года увеличил свою перерабатывающую способность на 20 %.
   Благодаря государственным инвестициям развиваются как крупные (Шахид-Раджаи, Имам-Хомейни и Шахид-Бехешти), так и небольшие порты. Государственный комитет по портам и судоходству Ирана (Ports and Maritime Organization, PMO) планирует инвестиции в развитие портов страны в объеме 1 квдрлн иранских риалов (около 23,8 млрд долл. США), в том числе...
https://zdmira.com/news/iran-narashchivaet-transportnuyu-infrastrukturu
31"
zd,"В турецкой провинции Коджаэли развивают рельсовый транспорт
   В Измите, административном центре провинции Коджаэли и одном из крупнейших торгово-промышленных районов Турции, открылся для пассажиров участок продления протяженностью 3,1 км с пятью остановками линии трамвая Akçaray. Это единственная линия трамвая в Коджаэли, ее ввод в эксплуатацию выполнялся поэтапно с июня 2017 г.
   Контракт стоимостью 525 млн тур. лир на строительство участка, включая поставку и монтаж электромеханических систем, был заключен Главным управлением инфраструктурных инвестиций (AYGM) с турецкой компанией Eze İnşaat в 2022 г.
   Муниципалитет Коджаэли в апреле 2023 г. подписал договор с турецкой компанией Bozankaya на сумму...
https://zdmira.com/news/v-turetskoj-provintsii-kodzhaeli-razvivayut-relsovyj-transport
32"
zd,"Siemens: еще один сервисный контракт с канадской Metrolinx
   Metrolinx — администрация общественного транспорта Большого Торонто и Гамильтона выбрала компанию Siemens Mobility в качестве поставщика услуг по текущему содержанию путевой инфраструктуры и полосы отвода, а также по обслуживанию систем сигнализации в Центральном регионе Торонто. В феврале 2023 г. с Siemens Mobility был заключен аналогичный контракт, охватывающий Западный регион Торонто.
   Siemens Mobility располагает в Канаде местной командой специалистов с 25‑летним опытом в обслуживании объектов железнодорожной инфраструктуры. Компания намерена...
https://zdmira.com/news/siemens-eshche-odin-servisnyj-kontrakt-s-kanadskoj-metrolinx
33"
zd,"Швейцария: сокращение доли железных дорог в трансальпийских грузовых перевозках
   По данным Федерального управления транспорта Швейцарии (BAV), в 2023 г. объем грузовых перевозок через Швейцарские Альпы снизился на 4,7 % относительно предыдущего года и составил 37 млн т. Железнодорожный транспорт по сравнению с предыдущим годом перевез на 5,9 % меньше грузов,  автомобильный также меньше, но только на 1,4 %. 
   Таким образом, доля железных дорог в трансальпийских грузовых перевозках сократилась с 72,9 до 72 %. Основной причиной, по оценке BAV, является текущая экономическая ситуация в Европе, энергетический кризис и сбои в цепочках поставок. Кроме того, сказывается невысокая надежность железнодорожных перевозок, обусловленная проведением работ по текущему содержанию инфраструктуры и...
https://zdmira.com/news/shvejtsariya-sokrashchenie-doli-zheleznykh-dorog-v-transalpijskikh-gruzovykh-perevozkakh
34"
zd,"MxV Rail завершила постройку петлевого участка для ускоренных испытаний
   Компания MxV Rail, дочернее предприятие Ассоциации американских железных дорог (AAR), ранее — Центр транспортных технологий (TTCI), завершила постройку вблизи Пуэбло (США, штат Колорадо) петлевого участка для ускоренных эксплуатационных испытаний Facility for Accelerated Service Testing (FAST) протяженностью 4,5 км. Основание пути на участке было практически готово к маю 2023 г.
   Ввод в строй нового участка позволит проводить испытания в условиях, близких к существующим в реальной эксплуатации. Предполагаемая нагрузка от движения по участку поездов с повышенной осевой нагрузкой составит 140 млн т брутто в год.
   В 2024 г. на FAST планируется провести более 30 экспериментов. В их числе: тестирование новых методов выявления дефектов колес и изломов рельсов, оценка показателей безопасности и...
https://zdmira.com/news/mxv-rail-zavershila-postrojku-petlevogo-uchastka-dlya-uskorennykh-ispytanij
35"
zd,"Расширение сети метрополитена Калькутты
   В Калькутте, столице индийского штата Западная Бенгалия, в марте 2024 г. были введены в эксплуатацию новая линия 6 (Orange) метро и два участка продления общей протяженностью около 11,5 км.
   Открылась для перевозки пассажиров первая очередь линии 6 метро длиной 5,4 км с пятью станциями; ее строительство обошлось в 14,4 млрд рупий (примерно 173 млн долл. США). В перспективе эта линия создаст удобное сообщение с международным аэропортом имени Нетаджи Субхас Чандра Боса и позволит разгрузить автомагистраль Eastern Metropolitan Bypass.
   Также введен в эксплуатацию западный участок протяженностью 4,8 км с четырьмя станциями линии 2 (Green или East-West) метро, соединивший Калькутту с пригородом Ховра. Участок включает...
https://zdmira.com/news/rasshirenie-seti-metropolitena-kalkutty
36"
zd,"В Польше приступают к проектированию железной дороги Краков — Мысленице
   Оператор инфраструктуры железных дорог Польши PKP Polskie Linie Kolejowe (PKP PLK) подписал контракт на проектирование новой железнодорожной линии Краков (Свошовице) — Мысленице. Это один из трех инвестиционных проектов, запланированных в Малопольском воеводстве в рамках программы Kolej Plus. Контракт стоимостью 22 млн злотых, подписанный с консорциумом польских компаний BBF и IDOM Inżynieria, Architektura i Doradztwo,  предполагает разработку проектной документации и надзор за строительством. На подготовку проекта отводится 35 мес. 
   Трасса участка Свошовице — Мысленице длиной около 22 км включает два тоннельных участка и несколько мостовых сооружений. 
   Новым железнодорожным сообщением будет охвачено около 72 тыс. чел. На линии предусматриваются шесть промежуточных остановок. Поездка со скоростью до...
https://zdmira.com/news/v-polshe-pristupayut-k-proektirovaniyu-zheleznoj-dorogi-krakov-myslenitse
37"
zd,"Компания East Midlands Railway модернизирует парк подвижного состава
   Компания East Midlands Railway (EMR, Великобритания) выполняет программу стоимостью 60 млн ф. ст. (около 70 млн евро), предусматривающую модернизацию электропоездов серии 360 и дизель-поездов серий 158 и 170. Комплексный проект реализуется в сотрудничестве с компаниями Angel Trains, Siemens, Porterbrook и Eversholt. Все работы будут выполняться на территории Великобритании.
   Оператор EMR является дочерним предприятием компании Transport UK Group, выполняет пригородные, междугородные и региональные пассажирские перевозки по франшизе East Midlands в регионе Восточный Мидленд. Кроме того, поезда Luton Airport Express оператора курсируют между лондонским вокзалом Сент-Панкрас и международным аэропортом Лутон.
   Программа нацелена на повышение уровня комфорта и удобств для пассажиров. Все поезда серий...
https://zdmira.com/news/kompaniya-east-midlands-railway-moderniziruet-park-podvizhnogo-sostava
38"
zd,"Рельсовая система Шеффилда Supertram перешла под контроль государства
   В марте 2024 г. по истечении срока действия заключенного в 1997 г. контракта с частным оператором Stagecoach сеть рельсового транспорта Supertram английского Шеффилда перешла под контроль государственной компании South Yorkshire Future Trams, учрежденной администрацией Южного Йоркшира (South Yorkshire Mayoral Combined Authority, SYMCA). Сеть Supertram состоит из четырех линий, в том числе трех линий трамвая и одной системы трамвай-поезд, обслуживающих 50 остановок с пересадками на маршруты поездов, местных и междугородных автобусов. В последние годы эксплуатация рельсовой системы была убыточной, недостаток инвестиций в ее содержание и развитие не способствовал...
https://zdmira.com/news/relsovaya-sistema-sheffilda-supertram-pereshla-pod-kontrol-gosudarstva
39"
zd,"Между Китаем и Сербией открыт новый грузовой железнодорожный маршрут
   Новый грузовой маршрут связал Шицзячжуан, административный центр китайской провинции Хэбэй, со столицей Сербии Белградом. 
   Первый поезд отправился из сухого порта Шицзячжуан 21 марта 2024 г. и далее проследовал через пограничную станцию Алашанькоу в Синьцзян-Уйгурском автономном районе Китая. По расчетам, время в пути по маршруту протяженностью примерно 10,2 тыс. км составит около 20 сут.
   Это первый грузовой поезд, который свяжет регион Пекин-Тяньцзинь-Хэбэй с Сербией в рамках...
https://zdmira.com/news/mezhdu-kitaem-i-serbiej-otkryt-novyj-gruzovoj-zheleznodorozhnyj-marshrut
40"
zd,"Железные дороги Германии в 2023 году: убытки и рекордные инвестиции
   В 2023 г. железные дороги Германии (DB) инвестировали в развитие инфраструктуры и обновление парка подвижного состава рекордные 7,6 млрд евро из собственных средств — на 16 % больше, чем годом ранее. Еще более 1 млрд евро было потрачено на инфраструктурные мероприятия, стоимость которых будет компенсирована в дальнейшем из бюджета ФРГ. В результате финансовый результат DB ожидаемо оказался негативным. Скорректированный показатель EBIT составил –964 млн евро (в 2022 г. +1,225 млрд евро). Задолженность концерна увеличилась.
   С учетом средств из федерального бюджета инвестиции на содержание и модернизацию железнодорожной инфраструктуры достигли в 2023 г. 16,9 млрд евро (+12 % к 2022 г.).
   Убыток DB по итогам 2023 г. составил 2,4 млрд евро (в 2022 г. убыток был 227 млн евро), оборот достиг...
https://zdmira.com/news/zheleznye-dorogi-germanii-v-2023-godu-ubytki-i-rekordnye-investitsii
41"
zd,"Согласовано строительство линии метро в городе Тайнань на Тайване
   Министерство транспорта и коммуникаций Тайваня (MOTC) предварительно согласовало проект строительства первого участка длиной 8,9 км линии метро Blue в Тайнане — городе с населением около 1,85 млн чел. на юго-западе острова. Рассматривались, в частности, трасса и основные параметры транспортной системы, а также предполагаемый бюджет строительства. Ранее проект был одобрен министерством охраны окружающей среды.
   После внесения необходимых корректив городской администрацией разработанная проектная документация будет представлена на утверждение в правительство острова. Линия пройдет через...
https://zdmira.com/news/soglasovano-stroitelstvo-linii-metro-v-gorode-tajnan-na-tajvane
42"
zd,43
zd,"Stadler построит еще четыре электропоезда для Berner Oberland‑Bahn
   Швейцарская горная железная дорога метровой колеи Berner Oberland-Bahn заключила с компанией Stadler контракт стоимостью 38,6 млн швейц. фр. на поставку еще четырех трехвагонных электропоездов серии ABeh4/8 в дополнение к шести поездам, заказанным в мае 2022 г.
   В каждом электропоезде — 140 мест для пассажиров, по обе стороны низкопольной входной зоны с широкими дверными проемами оборудованы площадки для перевозки лыж, сноубордов, велосипедов и детских колясок. Все 10 электропоездов планируется ввести в эксплуатацию в последнем квартале 2025 и первой половине 2026 г. Это позволит заменить три поезда серии ABeh4/4 II, построенные в 1986 г., и увеличить...
https://zdmira.com/news/stadler-postroit-eshche-chetyre-elektropoezda-dlya-berner-oberland-bahn
44"
